538 Week 13
 SG Week 13
Away	Home	Favored	Sorted	Odds	Diff	538-A	SG-A	AVG-A	538-H	SG-H	AVG-H
CLE	LAC	LAC (H)	87.3	88.2	0.8	11.0	12.7	11.8	89.0	87.3	88.2
IND	JAX	JAX (H)	75.0	76.8	1.8	25.0	21.5	23.2	75.0	78.5	76.8
NE	BUF	NE (A)	73.0	75.3	2.4	73.0	77.7	75.3	27.0	22.3	24.6
NYG	OAK	OAK (H)	71.0	72.1	1.1	29.0	26.8	27.9	71.0	73.2	72.1
HOU	TEN	TEN (H)	66.0	69.2	3.2	34.0	27.7	30.9	66.0	72.3	69.2
PIT	CIN	PIT (A)	66.0	66.9	0.9	66.0	67.8	66.9	34.0	32.2	33.1
CAR	NO	NO (H)	65.2	65.6	0.4	34.0	34.8	34.4	66.0	65.2	65.6
SF	CHI	CHI (H)	64.5	68.2	3.8	28.0	35.5	31.8	72.0	64.5	68.2
KC	NYJ	KC (A)	61.7	61.9	0.1	62.0	61.7	61.9	38.0	38.3	38.1
MIN	ATL	ATL (H)	58.1	59.5	1.5	39.0	41.9	40.5	61.0	58.1	59.5
LAR	ARI	LAR (A)	57.0	64.9	7.9	57.0	72.8	64.9	43.0	27.2	35.1
DET	BAL	BAL (H)	57.0	58.5	1.5	40.0	43.0	41.5	60.0	57.0	58.5
TB	GB	GB (H)	55.6	59.3	3.7	37.0	44.4	40.7	63.0	55.6	59.3
PHI	SEA	PHI (A)	52.0	59.6	7.6	52.0	67.3	59.6	48.0	32.7	40.4
WAS	DAL	DAL (H)	51.2	56.1	4.9	39.0	48.8	43.9	61.0	51.2	56.1
DEN	MIA	MIA (H)	48.6	52.8	4.2	43.0	51.4	47.2	57.0	48.6	52.8
